"distance","group","animal","value"
"12 mm caudal","TP","TP1",0.188
"12 mm caudal","TP","TP2",0.08
"12 mm caudal","TP","TP3",0.357
"12 mm caudal","TP","TP5",0.245
"12 mm caudal","TP","TP6",0.053
"12 mm caudal","Combination","Comb3",0.441
"12 mm caudal","Combination","Comb4",0.508
"12 mm caudal","Combination","Comb6",0.266
"12 mm caudal","Combination","Comb8",0.389
"12 mm caudal","Combination","CombB8",0.256
"16 mm caudal","TP","TP1",0.105
"16 mm caudal","TP","TP2",0.177
"16 mm caudal","TP","TP3",0.169
"16 mm caudal","TP","TP5",0.212
"16 mm caudal","TP","TP6",0.113
"16 mm caudal","Combination","Comb3",0.199
"16 mm caudal","Combination","Comb4",0.252
"16 mm caudal","Combination","Comb6",0.286
"16 mm caudal","Combination","Comb8",0.254
"16 mm caudal","Combination","CombB8",0.225
"20 mm caudal","TP","TP1",0.085
"20 mm caudal","TP","TP2",0.086
"20 mm caudal","TP","TP3",0.219
"20 mm caudal","TP","TP5",0.143
"20 mm caudal","TP","TP6",0.123
"20 mm caudal","Combination","Comb3",0.236
"20 mm caudal","Combination","Comb4",0.247
"20 mm caudal","Combination","Comb6",0.317
"20 mm caudal","Combination","Comb8",0.246
"20 mm caudal","Combination","CombB8",0.161
